customer_id,customer_age,customer_region,customer_tenure_months,order_id,order_value,items_quantity,discount_value,payment_installments,delivery_time_days,delivery_delay_days,freight_value,delivery_attempts,customer_service_contacts,resolution_time_days,nps_score,repeat_purchase_30d,complaints_count,csat_internal_score
1,63,Nordeste,14,50001,139.73,4,39.35,4,2,2,55.53,3,0,4,6.9,0,3,6.5
2,20,Sul,1,50002,458.95,2,9.51,10,6,4,28.23,3,0,10,2.4,0,3,0.0
3,46,Nordeste,111,50003,507.06,5,42.82,6,6,1,40.99,1,4,5,4.8,0,7,1.5
4,52,Centro-Oeste,117,50004,302.19,2,19.58,9,5,2,35.24,3,1,11,5.9,0,4,0.3
5,56,Norte,50,50005,253.06,1,29.37,11,13,1,39.32,1,1,0,6.1,0,3,7.9
6,35,Sudeste,75,50006,568.76,6,36.58,3,4,5,41.82,2,2,3,0.9,0,5,1.5
7,37,Sudeste,68,50007,41.29,3,99.62,6,8,3,35.83,3,3,4,1.4,0,6,0.6
8,60,Sul,37,50008,428.76,4,29.54,10,11,5,44.5,1,0,2,0.0,0,2,4.1
9,40,Sul,60,50009,121.56,3,91.95,6,6,3,24.88,2,1,9,6.2,0,3,0.8
10,51,Sudeste,70,50010,411.01,6,37.47,3,9,2,30.59,1,0,7,2.7,0,2,4.2
11,50,Centro-Oeste,28,50011,616.17,2,23.0,8,4,2,52.94,3,0,7,5.3,0,6,2.7
12,67,Norte,81,50012,509.48,2,10.42,1,11,1,46.92,2,1,3,7.0,0,2,5.8
13,65,Centro-Oeste,85,50013,588.28,6,12.54,5,11,2,28.67,2,1,9,3.7,0,4,0.4
14,27,Sudeste,42,50014,165.19,5,52.82,5,10,1,63.92,3,0,8,2.9,0,2,3.5
15,50,Sudeste,113,50015,220.81,3,30.73,6,7,3,45.96,1,1,4,2.7,0,3,2.4
16,64,Norte,114,50016,732.83,2,13.24,8,9,3,46.78,2,1,8,6.0,0,2,0.0
17,50,Norte,70,50017,391.66,4,0.25,11,3,2,59.78,2,1,6,1.9,0,4,2.7
18,65,Sul,21,50018,483.04,1,28.08,1,12,3,44.76,2,1,10,4.8,0,4,0.0
19,43,Sul,86,50019,383.98,3,33.61,11,3,4,25.24,2,2,3,3.4,0,4,2.0
20,37,Centro-Oeste,74,50020,288.93,2,20.8,9,9,2,62.02,1,1,3,2.0,0,4,5.0
21,32,Sudeste,105,50021,390.01,2,84.53,8,9,2,35.9,2,1,6,5.7,0,4,2.6
22,54,Centro-Oeste,68,50022,480.03,3,14.53,1,4,4,47.91,1,3,8,0.0,0,5,0.0
